Participant ID,ChestGirth(cm),HipsGirth(cm),WaistGirth(cm)
1001,86.76,107.60098312022988,80.36834263208998
1002,115.76,111.09983641169077,105.87807190681035
1003,117.48,113.04789502646466,112.98469872842621
1004,108.13,108.15364516775662,105.97557946526004
1005,98.37,113.04789502646466,91.25524852913547
1006,113.4,102.1103741470489,103.34309541933149
1007,86.5,123.58010279571049,86.66328558456142
1008,105.735,111.09983641169077,103.33028169670307
1009,95.03999999999999,118.41060719742049,94.87236439512823
1010,122.81,118.41060719742049,107.83254280035979
1011,91.12,113.73498997015135,77.04751114042762
1012,99.26,107.60098312022988,92.36008739929915
1013,99.06,119.31633477254606,89.31668558339005
1014,96.52,112.38072863224863,89.31668558339005
1015,96.52,112.38072863224863,81.7323953481086
1016,96.52,106.0039075733911,86.80919648670577
1017,105.735,103.51581612842176,88.49418380621618
1018,85.09,136.0603691797302,76.9343239595066
1019,85.09,136.0603691797302,76.9343239595066
1020,86.36,106.0039075733911,78.43765682632166
1021,111.76,123.58010279571049,93.91906851355719
1022,86.36,119.31633477254606,71.28358103774669
1023,95.03999999999999,108.15364516775662,84.33078919801785
