Participant ID,ChestGirth(cm),HipsGirth(cm),WaistGirth(cm)
1001,86.76,99.52999999999999,80.36834263208998
1002,115.76,114.87333333333333,105.87807190681035
1003,117.48,121.91333333333334,112.98469872842621
1004,108.13,100.54,105.97557946526004
1005,98.37,121.91333333333334,91.25524852913547
1006,113.4,120.81666666666668,103.34309541933149
1007,86.5,110.33999999999999,86.66328558456142
1008,105.735,114.87333333333333,103.33028169670307
1009,95.03999999999999,101.34333333333332,94.87236439512823
1010,122.81,101.34333333333332,107.83254280035979
1011,91.12,119.16666666666667,77.04751114042762
1012,99.26,99.52999999999999,92.36008739929915
1013,99.06,93.02666666666666,89.31668558339005
1014,96.52,106.86333333333334,89.31668558339005
1015,96.52,106.86333333333334,81.7323953481086
1016,96.52,103.97666666666667,86.80919648670577
1017,105.735,120.81666666666668,88.49418380621618
1018,85.09,141.66666666666666,76.9343239595066
1019,85.09,141.66666666666666,76.9343239595066
1020,86.36,103.97666666666667,78.43765682632166
1021,111.76,110.33999999999999,93.91906851355719
1022,86.36,93.02666666666666,71.28358103774669
1023,95.03999999999999,100.54,84.33078919801785
