Participant ID,ChestGirth(cm),HipsGirth(cm),WaistGirth(cm)
1001,88.53674097620552,93.84994861408227,80.36834263208998
1002,111.71342483980818,114.89567462896188,105.87807190681035
1003,110.4258065132205,126.43333949391108,112.98469872842621
1004,106.7313124675644,112.86950523549261,105.97557946526004
1005,100.75253644020441,126.43333949391108,91.25524852913547
1006,111.96803277500737,120.76089812683301,103.34309541933149
1007,88.21551148949952,114.26844917215016,86.66328558456142
1008,104.08157116095745,114.89567462896188,103.33028169670307
1009,95.85520746762674,101.6750313585999,94.87236439512823
1010,118.42507506580047,101.6750313585999,107.83254280035979
1011,95.0996256979734,101.6750313585999,77.04751114042762
1012,102.85132116095745,93.84994861408227,92.36008739929915
1013,99.48246505644013,100.5572422649049,89.31668558339005
1014,97.4131321844085,112.77820570820555,89.31668558339005
1015,96.98319530952708,112.77820570820555,81.7323953481086
1016,95.94307303806744,102.48467368472146,86.80919648670577
1017,104.08157116095745,133.15644413858752,88.49418380621618
1018,86.26300689176968,157.72674302696,76.9343239595066
1019,86.26300689176968,157.72674302696,76.9343239595066
1020,90.45204504579807,102.48467368472146,78.43765682632166
1021,107.74326680501339,114.26844917215016,93.91906851355719
1022,89.28386409379651,100.5572422649049,71.28358103774669
1023,95.85520746762674,112.86950523549261,84.33078919801785
