Participant ID,ChestGirth(cm),HipsGirth(cm),WaistGirth(cm)
1001,102.59792920005287,107.42410681552772,95.13716037600274
1002,101.95960006173938,111.01429226020379,94.74766856318439
1003,98.68357214967044,113.01320193189707,89.56430368239215
1004,100.84933338063306,107.99119525095821,92.65400033079642
1005,100.12603878964488,113.01320193189707,92.09808247734537
1006,100.08969441527182,101.79017398786934,92.51779284074479
1007,102.11998938896086,123.82033669394434,93.49987238668321
1008,101.10457910707977,111.01429226020379,92.77176064807414
1009,98.84815133337035,118.51589940913652,89.27198290786352
1010,99.84175729081706,118.51589940913652,90.37983613194332
1011,97.5448061225461,113.71823242630356,87.98979756030086
1012,100.89251777539418,107.42410681552772,93.06878792739674
1013,96.57484775837086,119.44526960164887,86.62284216213232
1014,96.91591987613707,112.32862019092008,87.1784483074443
1015,98.7870785074724,112.32862019092008,90.5292927438488
1016,102.30126769077016,105.7853420818642,95.19185873865536
1017,101.10457910707977,103.23230285825554,93.8698510970367
1018,93.86072533483011,136.62638112768488,82.06430879868901
1019,93.86072533483011,136.62638112768488,82.06430879868901
1020,101.32751889470869,105.7853420818642,93.99062705227209
1021,96.98127902898548,123.82033669394434,86.38062063055095
1022,99.19993811826448,119.44526960164887,88.75646620455471
1023,98.84815133337035,107.99119525095821,89.0703296333991
